Status,Nome da obra no Brasil,Série,Lançamento brasileiro,Título original,Lançamento original,Desenvolvimento,Publicação,Lançamento em revista/jornal,Archive ID,Preservador,Link para gameplay,Screenshots,Descrição do jogo,YouTube ID,Filename base
OK,Enciclopédia Geográfica,Globo Multimídia,,,,,Globo Multimídia,,colecao_enciclopedias,cinilha,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan67.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan94.png",,nan,nan
,Seção Positivo Informática,,,,,,,,,,,,,nan,nan
OK,O Roedor de Números,Positivo Informática,1995,,,Positivo Informática,Positivo Informática,,positivo-6-jogos-1996-pt-br-ccd,Games&Cigarettes,,,,nan,nan
OK,Jogo da Balança,Positivo Informática,1995,,,Positivo Informática,Positivo Informática,,positivo-6-jogos-1996-pt-br-ccd,Games&Cigarettes,,,,nan,nan
OK,Salve as Palavras,Positivo Informática,1995,,,Positivo Informática,Positivo Informática,,positivo-6-jogos-1996-pt-br-ccd,Games&Cigarettes,,,,nan,nan
OK,Salve as Palavras 2,Positivo Informática,1995,,,Positivo Informática,Positivo Informática,,positivo-6-jogos-1996-pt-br-ccd,Games&Cigarettes,,,,nan,nan
OK,Mamando e Aprendendo,Positivo Informática,1995,,,Positivo Informática,Positivo Informática,,positivo-6-jogos-1996-pt-br-ccd,Games&Cigarettes,,,,nan,nan
OK,Caçador de Letras,Positivo Informática,1995,,,Positivo Informática,Positivo Informática,,positivo-6-jogos-1996-pt-br-ccd,Games&Cigarettes,,,,nan,nan
OK,O Jogo da Tabuada,Positivo Informática,1996,,,Positivo Informática,Positivo Informática,,RCDROM31,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan181.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan180.png",,nan,nan
PERDIDO,O Patrulheiro das Galáxias,Positivo Informática,1996,,,Positivo Informática,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/scans/scan30.png,,nan,nan
PERDIDO,O Patrulheiro das Galáxias II: Prisioneiros da Tribo Verde,Positivo Informática,1997,,,Positivo Informática,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/scans/scan111.png,,nan,nan
PERDIDO,O Patrulheiro das Galáxias III: ABC do Sistema Solar,Positivo Informática,1998,,,Positivo Informática,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/patrulheiro-3.png,"<a href=""https://www.escavador.com/sobre/2976993/fabio-vinicius-binder"">Fonte</a>",nan,nan
PERDIDO,Descobrindo a Matemática,Positivo Informática,1999,,,Positivo Informática,Positivo Informática,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan195.png,https://vinizinho.net/projects/cd-archive/figures/screenshots/patrulheiro-3.png","<a href=""https://www.escavador.com/sobre/2976993/fabio-vinicius-binder"">Fonte</a>",nan,nan
OK,Supermercado 3D,Positivo Informática,2000,,,Positivo Informática,Positivo Informática,,mercado_202203,,https://www.youtube.com/watch?v=WZJRIt_-RYc,https://vinizinho.net/projects/cd-archive/figures/scans/scan85.png,,WZJRIt_-RYc,WZJRIt_-RYc
OK,Peter Pan: As Aventuras na Terra do Nunca,Positivo Informática,2002,Peter Pan: Adventures in Never Land,2002,Doki Denki Studios,Positivo Informática,,peter-pan-ptbr,,https://www.youtube.com/watch?v=dxwm3Ys2HAI,,,dxwm3Ys2HAI,dxwm3Ys2HAI
OK,O Galinho Chicken Little,Positivo Informática,2005,Chicken Little,2005,Avalanche Software,Positivo Informática,,galinho-chicken-little-cd,N64Player,,,,nan,nan
OK,"Leitão, o Game",Positivo Informática,2003,Disney's Piglet's Big Game,2003,Hulabee Entertainment,Positivo Informática,,leitao-game,N64Player,,,,nan,nan
OK,Procurando Nemo,Positivo Informática,2003,Finding Nemo,2003,Traveller's Tales,Positivo Informática,,nemo-ptbr,N64Player,,,,nan,nan
OK,Pato Donald,Positivo Informática,2000,Donald Duck: Goin' Quackers,2000,Ubi Soft,Positivo Informática,,pato_donald_ptbr,N64Player,,,,nan,nan
OK,Pernalonga Perdido no Tempo,Positivo Informática,2000,Bugs Bunny: Lost in Time,1999,Infogrames-Game Nation,Positivo Informática,,pernalonga-perdido-tempo,N64Player,,,,nan,nan
OK,Ratatouille,Positivo Informática,2007,Ratatouille,2007,Heavy Iron Studios,Positivo Informática,,ratatouille_ptbr,N64Player,,,,nan,nan
OK,Monstros S.A.: Faça Parte Desse Time,Positivo Informática,2001,"Monsters, Inc. - Scream Team Training",2001,Gorilla Systems Corporation,Positivo Informática,,monstros-sa-faca-parte-desse-time,N64Player,,,,nan,nan
OK,Tarzan: Centro de Atividades,Positivo Informática,2000,Disney's Tarzan: Activity Center,1999,Disney Interactive,Positivo Informática,,centro-de-atividades-tarzan,TV Frederiquense,,,,nan,nan
OK,102 Dálmatas: Centro de Atividades,Positivo Informática,2001,Disney's 102 Dalmatians: Activity Center,2001,Disney Interactive,Positivo Informática,,centro-de-atividades-102-dalmatas,TV Frederiquense,,,,nan,nan
OK,Lilo & Stitch: Apuros no Paraíso,Positivo Informática,2005,Lilo & Stitch: Trouble in Paradise,2002,Blitz Games,Positivo Informática,,lilo-e-stitch-pc,TV Frederiquense,,,,nan,nan
OK,Pica-Pau: A Fuga do Parque do Zeca Urubu!,Positivo Informática,2002,Woody Woodpecker: Escape from Buzz Buzzard Park,2001,Eko Software,Positivo Informática,Fullgames Kids Ano 1 nº 02,pica-pau-pc,TV Frederiquense,,,,nan,nan
OK,Pateta: Skate Radical,Positivo Informática,2005,Disney's Extremely Goofy Skateboarding,2001,Krome Studios,Positivo Informática,,pateta-skate-radical,TV Frederiquense,,,,nan,nan
OK,Buzz Lightyear e o Comando Estelar,Positivo Informática,2001,Buzz Lightyear of Star Command,2000,Traveller's Tales,Positivo Informática,,buzz-lightyear-e-o-comando-estelar,TV Frederiquense,,,,nan,nan
OK,A Fantástica Viagem dos Zoombinis,Positivo Informática,,The Logical Journey of the Zoombinis,1996,Brøderbund Software,Positivo Informática,,zoombinis_pt-br,seulgiseulgi,,https://vinizinho.net/projects/cd-archive/figures/scans/scan18.png,,nan,nan
